ACCOUNT_ID,CURRENT_BALANCE,CUSTOMER_NAME,CUSTOMER_TIER,DAYS_SINCE_LAST_INTERACTION,LIFETIMEVALUE,LIKELIHOOD_TO_BUY,OPPAMOUNT,OPPTYPE,PROBABILITY,PRODUCT,SERVICE
001Hu00002vQCICIA4,16779.11,Sophia Miller,Plus,2. 31-60,,1. High,1677.91,Relationship Banking,83.0,Checking,Loan Growth
001Hu00002vQCICIA4,,Sophia Miller,,2. 31-60,,1. High,,,,Credit Cards,Loan Growth
001Hu00002vQCICIA4,,Sophia Miller,,2. 31-60,,1. High,,,,Loans,Loan Growth
001Hu00002vQCICIA4,,Sophia Miller,,2. 31-60,,1. High,,,,Mortgage,Loan Growth
001Hu00002vQCICIA4,,Sophia Miller,,2. 31-60,,1. High,,,,Savings,Loan Growth
001Hu00002vQCICIA4,58255.0,Sophia Miller,Premium,2. 31-60,,1. High,5825.5,Business,44.0,Small Business,Loan Growth
001Hu00002vQCICIA4,2810.09,Sophia Miller,Plus,2. 31-60,,1. High,281.01,Investments,41.0,Wealth,Loan Growth
001Hu00002vQCICIA4,,Jane Jones,Premium,1. <30,,1. High,7013.7,Relationship Banking,77.0,Checking,Deposit Growth
001Hu00002vQCICIA4,,Jane Jones,,1. <30,,1. High,,,,Credit Cards,Deposit Growth
001Hu00002vQCICIA4,70137.01,Jane Jones,,1. <30,,1. High,,,,Loans,Deposit Growth
001Hu00002vQCICIA4,52457.17,Jane Jones,Mass Market,1. <30,,1. High,5245.72,Residential,62.0,Mortgage,Deposit Growth
001Hu00002vQCICIA4,,Jane Jones,,1. <30,,1. High,,,,Savings,Deposit Growth
001Hu00002vQCICIA4,,Jane Jones,,1. <30,,1. High,,,,Small Business,Deposit Growth
001Hu00002vQCICIA4,,Jane Jones,,1. <30,,1. High,,,,Wealth,Deposit Growth
001Hu00002vQCICIA4,,Daniel Miller,Plus,1. <30,,1. High,8433.0,Relationship Banking,85.0,Checking,Deposit Growth
001Hu00002vQCICIA4,,Daniel Miller,,1. <30,,1. High,,,,Credit Cards,Deposit Growth
001Hu00002vQCICIA4,84329.96,Daniel Miller,,1. <30,,1. High,,,,Loans,Deposit Growth
001Hu00002vQCICIA4,68199.06,Daniel Miller,Mass Market,1. <30,,1. High,6819.91,Residential,91.0,Mortgage,Deposit Growth
001Hu00002vQCICIA4,,Daniel Miller,Plus,1. <30,,1. High,2487.65,Relationship Banking,74.0,Savings,Deposit Growth
001Hu00002vQCICIA4,,Daniel Miller,,1. <30,,1. High,,,,Small Business,Deposit Growth
001Hu00002vQCICIA4,,Daniel Miller,,1. <30,,1. High,,,,Wealth,Deposit Growth
001Hu00002vQCICIA4,,Emily Johnson,Plus,1. <30,,1. High,1737.88,Relationship Banking,97.0,Checking,Deposit Growth
001Hu00002vQCICIA4,50032.42,Emily Johnson,Mass Market,1. <30,,1. High,5003.24,Lending,55.0,Credit Cards,Deposit Growth
001Hu00002vQCICIA4,,Emily Johnson,,1. <30,,1. High,,,,Loans,Deposit Growth
001Hu00002vQCICIA4,17378.78,Emily Johnson,,1. <30,,1. High,,,,Mortgage,Deposit Growth
001Hu00002vQCICIA4,,Emily Johnson,,1. <30,,1. High,,,,Savings,Deposit Growth
001Hu00002vQCICIA4,,Emily Johnson,,1. <30,,1. High,,,,Small Business,Deposit Growth
001Hu00002vQCICIA4,,Emily Johnson,,1. <30,,1. High,,,,Wealth,Deposit Growth
001Hu00002vQCICIA4,42729.58,Michael Davis,Mass Market,1. <30,,1. High,4272.96,Relationship Banking,75.0,Checking,Loan Growth
001Hu00002vQCICIA4,,Michael Davis,,1. <30,,1. High,,,,Credit Cards,Loan Growth
001Hu00002vQCICIA4,,Michael Davis,,1. <30,,1. High,,,,Loans,Loan Growth
001Hu00002vQCICIA4,,Michael Davis,,1. <30,,1. High,,,,Mortgage,Loan Growth
001Hu00002vQCICIA4,71065.11,Michael Davis,Premium,1. <30,,1. High,7106.51,Relationship Banking,91.0,Savings,Loan Growth
001Hu00002vQCICIA4,70353.45,Michael Davis,Premium,1. <30,,1. High,7035.35,Relationship Banking,69.0,Savings,Loan Growth
001Hu00002vQCICIA4,,Michael Davis,,1. <30,,1. High,,,,Small Business,Loan Growth
001Hu00002vQCICIA4,66040.15,Michael Davis,Mass Market,1. <30,,1. High,6604.02,Investments,90.0,Wealth,Loan Growth
001Hu00002vQCICIA4,36838.37,Sarah Davis,Premium,2. 31-60,,1. High,3683.84,Relationship Banking,90.0,Checking,Loan Growth
001Hu00002vQCICIA4,,Sarah Davis,,2. 31-60,,1. High,,,,Credit Cards,Loan Growth
001Hu00002vQCICIA4,,Sarah Davis,,2. 31-60,,1. High,,,,Loans,Loan Growth
001Hu00002vQCICIA4,,Sarah Davis,,2. 31-60,,1. High,,,,Mortgage,Loan Growth
001Hu00002vQCICIA4,22089.43,Sarah Davis,Plus,2. 31-60,,1. High,2208.94,Relationship Banking,88.0,Savings,Loan Growth
001Hu00002vQCICIA4,95916.05,Sarah Davis,Plus,2. 31-60,,1. High,9591.61,Relationship Banking,66.0,Savings,Loan Growth
001Hu00002vQCICIA4,,Sarah Davis,,2. 31-60,,1. High,,,,Small Business,Loan Growth
