AccountID,Active_Campaign,Attrition_Risk_Score,Balance_Change,CSAT_Score,Customer_Name,Last_Contact,LeadDate,LeadRank,LeadSource,NPS_Score,Previous_Balance,Product,Relationship_Balance,Segment,Wallet_Share_Percent
001Hu00002vQCICIA4,No,37.0,Increase,69,Rachel Morris,35,6/15/23,3,Email,4.0,41379.76628,Wealth,58000,Premier,89.937952
001Hu00002vQCICIA4,Yes,53.0,Increase,81,Nicholas Palmer,37,6/15/23,5,Walk-In,,27725.67982,Wealth,34000,Premier,60.681552
001Hu00002vQCICIA4,Yes,3.0,Increase,92,Sharon Weber,78,6/15/23,5,Walk-In,8.0,31465.41429,Wealth,41000,Mass Market,43.239157
001Hu00002vQCICIA4,Yes,92.0,Increase,63,Joseph Garcia,106,6/15/23,5,Walk-In,8.0,39322.7893,Wealth,62000,Mass Market,4.90954
001Hu00002vQCICIA4,Yes,87.0,Decrease,69,Sarah Jimenez,177,6/15/23,5,Web,10.0,11864.31711,Wealth,20355,Mass Market,70.128469
001Hu00002vQCICIA4,Yes,91.0,Increase,97,Theresa Miller,115,6/15/23,5,Walk-In,10.0,45518.31581,Wealth,55000,Plus,95.923816
001Hu00002vQCICIA4,Yes,74.0,Decrease,76,Allen Mclean,20,6/15/23,5,Print Ad,8.0,54290.0118,Wealth,67000,Plus,80.696556
001Hu00002vQCICIA4,No,76.0,Decrease,87,James Hernandez,127,6/15/23,5,Phone Call,,45557.78243,Wealth,45296,Premier,74.363444
001Hu00002vQCICIA4,No,69.0,Decrease,87,Lisa Harris,79,6/15/23,5,Phone Call,5.0,50025.48201,Wealth,48939,Plus,52.009243
001Hu00002vQCICIA4,No,67.0,Decrease,65,Michael Lopez,20,6/15/23,5,Print Ad,3.0,51155.40495,Wealth,46475,Plus,64.100988
001Hu00002vQCICIA4,No,67.0,Decrease,93,Patrick Green,105,6/15/23,5,Email,6.0,22511.79701,Wealth,21298,Mass Market,30.990234
001Hu00002vQCICIA4,Yes,6.0,Increase,81,Kelly Le,177,6/15/23,5,Phone Call,9.0,45462.52545,Wealth,45658,Mass Market,94.779787
