ConvertedOppAmount,CreatedDate,IsConverted,LastProcessedDate,LeadActivities,LeadSource,Name,Owner,Owner_Name,Owner_SmallPhotoUrl,Rating,Status
,2022-10-22,TRUE,2023-11-29,6,Employee Referral,Pearline Bellsham,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Working
,2022-11-08,FALSE,2023-11-29,11,Purchased List,Charlean Cooney,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Cold,Converted
,2022-10-20,FALSE,2023-11-29,16,Advertisement,Ronnie Lavigne,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Nurturing
,2022-11-03,FALSE,2023-11-29,18,Other,Marti Simmig,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Nurturing - Contacted
,2022-10-30,FALSE,2023-11-29,12,Other,Sib Hawk,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Qualified
,2022-11-07,TRUE,2023-11-29,14,Trade Show,Isis Hollyer,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,New
14000,2022-10-20,FALSE,2023-11-29,16,Advertisement,Iolanthe Birchett,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Cold,Converted
116000,2022-10-26,FALSE,2023-11-29,10,Other,Indira Crook,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Qualified
49000,2022-11-09,FALSE,2023-11-29,15,Employee Referral,Augustus Simonaitis,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Nurturing - Contacted
,2022-10-28,TRUE,2023-11-29,10,Employee Referral,Andy Smith (Sample),G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Working
,2022-10-21,FALSE,2023-11-29,11,Other,Phyllida Blair,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,Working  - Contacted
