ACCOUNTCLIENTCATEGORY,ACCOUNTID,ACCOUNTMARKETINGSEGMENT,ACCOUNTNAME,Amount,CREATEDDATE,Category,Close_Date,DAYSSINCELASTACTIVITY,FORECASTCATEGORY,ID,ISCLOSED,ISWON,LEADSOURCE,LastProcessedDate,OWNERID,Opportunity_Age,Opportunity_GoldenId,Opportunity_Name,Opportunity_Owner,PROBABILITY,STAGESORTORDER,Stage_Name
Regular,0015f00000FJYKSAA5,High Net Worth Families,Billy Strosin I,105000,2022-02-11 00:00:00,Home Equity,2022-10-12 00:00:00,723,Best Case,0065f0000089iGVAAY,TRUE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxXAAQ,216,006Dm000003RqgcIAC,Billy Strosin I - Loan - 5600,Brenda Banker,0.65,1,1. Doc Prep
Preferred,0015f00000FJXpFAAX,Millennials,Holli Hoppe,26900,2022-02-07 00:00:00,Home Equity,2022-10-12 00:00:00,774,Commit,0065f0000089iFsAAI,TRUE,TRUE,Partner,2022-09-05 00:00:00,0055f0000074jxcAAA,286,006Dm000003RqgcIAC,Holli Hoppe - Loan - 14500,Mark Garet,0.76,4,4. Underwriting
Preferred,0015f00000FJXpFAAX,Mass Market,Robena McLaughlin,50800,2022-02-15 00:00:00,Home Equity,2022-06-05 00:00:00,579,Omitted,0065f0000089iFsAAI,TRUE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxZAAQ,376,006Dm000003RqgcIAC,Robena McLaughlin - Loan - 21300,Allen Advisor,,6,6. Closed Lost
Regular,0015f00000FJXovAAH,Millennials,Kylie Grimes,199200,2022-02-07 00:00:00,Residential,2022-06-07 00:00:00,403,Omitted,0065f0000089iNZAAY,TRUE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxfAAA,315,006Dm000003RqgcIAC,Kylie Grimes - Mortgage - 199200,Allen Advisor,,6,6. Closed Lost
Regular,0015f00000FJXowAAH,Affluent Professionals,Miss Luciano Wehner,449700,2022-02-22 00:00:00,Residential,2022-06-12 00:00:00,982,Omitted,0065f0000089iHHAAY,TRUE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxcAAA,357,006Dm000003RqgcIAC,Miss Luciano Wehner - Mortgage - 449700,Allen Advisor,,6,6. Closed Lost
Preferred,0015f00000FJXowAAH,Affluent Professionals,Catharine Kuhic,348000,2022-03-05 00:00:00,Residential,2022-06-13 00:00:00,764,Omitted,0065f0000089iHHAAY,TRUE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxeAAA,296,006Dm000003RqgcIAC,Catharine Kuhic - Mortgage - 348000,Brenda Banker,,6,6. Closed Lost
Preferred,0015f00000FJXpRAAX,Retired,Willa Konopelski IV,475400,2022-03-18 00:00:00,Residential,2022-06-16 00:00:00,476,Closed,0065f0000089iDJAAY,TRUE,TRUE,Partner,2022-09-05 00:00:00,0055f0000074jxZAAQ,267,006Dm000003RqgcIAC,Willa Konopelski IV - Mortgage - 475400,Allen Advisor,0.62,2,2. Qualification
Preferred,0015f00000FJXpIAAX,Affluent Professionals,Antony Hackett,254000,2022-03-02 00:00:00,Residential,2022-06-20 00:00:00,362,Best Case,0065f0000089iEpAAI,FALSE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxgAAA,384,006Dm000003RqgcIAC,Antony Hackett - Mortgage - 254000,Brenda Banker,0.62,2,2. Qualification
Preferred,0015f00000FJXovAAH,Mass Market,Joan Ritchie DDS,123400,2022-02-21 00:00:00,Home Equity,2022-06-21 00:00:00,683,Omitted,0065f0000089iJHAAY,TRUE,FALSE,Partner,2022-09-05 00:00:00,0055f000005glsHAAQ,366,006Dm000003RqgcIAC,Joan Ritchie DDS - Loan - 8300,Brenda Banker,,6,6. Closed Lost
Regular,0015f00000FJXouAAH,Millennials,Armando Grant I,145300,2022-03-06 00:00:00,Home Equity,2022-06-24 00:00:00,299,Best Case,0065f0000089iGUAAY,TRUE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxjAAA,252,006Dm000003RqgcIAC,Armando Grant I - Loan - 24200,Allen Advisor,0.65,1,1. Doc Prep
